commit,refactoring type,description,tool,validation,note
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npjdist.py/JointDistribution
The parameter(s) ""events"" of the method ""__init__"" in the class ""JointDistribution"" is/are changed/renamed to ""outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npjdist.py/JointDistribution
The parameter(s) ""events"" of the method ""_init"" in the class ""JointDistribution"" is/are changed/renamed to ""outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npjdist.py/JointDistribution
The parameter(s) ""str_events"" of the method ""to_string"" in the class ""JointDistribution"" is/are changed/renamed to ""str_outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npjdist.py
The parameter(s) ""events"" of the method ""_make_distribution"" is/are changed/renamed to ""outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npjdist.py
The parameter(s) ""events"" of the method ""reorder"" is/are changed/renamed to ""outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/55f6f1ab292abe7a10a93982fa6df48f8d4c4854,Inline Method,"Location: dit/math/aitchison.py
The method ""_closure"" is inlined to the method ""closure""",PyRef,TP,
https://github.com/dit/dit/commit/5b8629a6899fe014895367c35d85cfca785e3b88,Add Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""base"" in the class ""Distribution""is/are added to the method ""copy""",PyRef,TP,
https://github.com/dit/dit/commit/5b8629a6899fe014895367c35d85cfca785e3b88,Extract Method,"Location: dit/helpers.py
The method ""_construct_alphabets"" is extracted from the method ""construct_alphabets""",PyRef,TP,
https://github.com/dit/dit/commit/5b8629a6899fe014895367c35d85cfca785e3b88,Rename Method,"Location: dit/distconst.py
The method ""random_distribution"" is renamed to ""random_scalar_distribution""",PyRef,TP,
https://github.com/dit/dit/commit/5b8629a6899fe014895367c35d85cfca785e3b88,Rename Method,"Location: dit/distconst.py
The method ""uniform_distribution"" is renamed to ""uniform_scalar_distribution""",PyRef,TP,
https://github.com/dit/dit/commit/5b8629a6899fe014895367c35d85cfca785e3b88,Rename Method,"Location: dit/distconst.py
The method ""random_joint_distribution"" is renamed to ""random_distribution""",PyRef,TP,
https://github.com/dit/dit/commit/5b8629a6899fe014895367c35d85cfca785e3b88,Change/Rename Parameter,"Location: dit/distconst.py
The parameter(s) ""word_length"" of the method ""random_joint_distribution"" is/are changed/renamed to ""outcome_length""",PyRef,TP,
https://github.com/dit/dit/commit/608fff2119f21191352ddf5d96eb82fc1ab099b0,Rename Method,"Location: dit/utils/misc.py
The method ""partitions"" is renamed to ""partitions1""",PyRef,TP,
https://github.com/dit/dit/commit/608fff2119f21191352ddf5d96eb82fc1ab099b0,Rename Method,"Location: dit/utils/misc.py
The method ""_partitions"" is renamed to ""partitions2""",PyRef,TP,
https://github.com/dit/dit/commit/658dfc8a0d73deaad1d4288aef0c9f2378130d39,Add Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""prng"" in the class ""Distribution""is/are added to the method ""__init__""",PyRef,TP,
https://github.com/dit/dit/commit/6844b5bcdad9e8c46314a7747ddc96aab48dbe7c,Rename Method,"Location: dit/tests/test_convert.py
The method ""test_DtoSD"" is renamed to ""test_DtoSD1""",PyRef,TP,
https://github.com/dit/dit/commit/6844b5bcdad9e8c46314a7747ddc96aab48dbe7c,Rename Method,"Location: dit/tests/test_convert.py
The method ""test_SDtoD"" is renamed to ""test_SDtoD1""",PyRef,TP,
https://github.com/dit/dit/commit/756c8e6aa6c39911bbc6ed8f9f325527baa0bf24,Add Parameter,"Location: dit/distribution.py/BaseDistribution
The parameter(s) ""numerical"" in the class ""BaseDistribution""is/are added to the method ""get_base""",PyRef,TP,
https://github.com/dit/dit/commit/7667fe99a1e5b5d706930ab06020367a3c19538f,Extract Method,"Location: dit/algorithms/information_partitions.py/ShannonPartition
The method ""to_string"" is extracted from the method ""__str__"" in the class ""ShannonPartition""",PyRef,TP,
https://github.com/dit/dit/commit/81d24be624d6a0fb05fac14ffac02280ed0b70ad,Rename Method,"Location: dit/utils/bindargs.py
The method ""bindcallargs_33"" is renamed to ""bindcallargs_geq33""",PyRef,TP,
https://github.com/dit/dit/commit/81d24be624d6a0fb05fac14ffac02280ed0b70ad,Rename Method,"Location: dit/utils/bindargs.py
The method ""bindcallargs_32"" is renamed to ""bindcallargs_leq32""",PyRef,TP,
https://github.com/dit/dit/commit/836278b4f2277333f6668cf9da137fd5a6c4e134,Rename Method,"Location: dit/tests/test_npscalardist.py
The method ""test_del"" is renamed to ""test_del1""",PyRef,TP,
https://github.com/dit/dit/commit/88a4c124fc1e1ee0b77771ebb63055e51396d779,Rename Method,"Location: dit/math/tests/test_pmfops.py
The method ""test_perturb"" is renamed to ""test_perturb_one""",PyRef,TP,
https://github.com/dit/dit/commit/8e663e28df7a02deffe54df97d97e508fec78bab,Add Parameter,"Location: dit/algorithms/common_info.py
The parameter(s) ""crvs""is/are added to the method ""common_information""",PyRef,TP,
https://github.com/dit/dit/commit/916cda3dad76d51ed63803abe26a16a0cd677f56,Add Parameter,"Location: dit/algorithms/total_correlation.py
The parameter(s) ""crvs""is/are added to the method ""total_correlation""",PyRef,TP,
https://github.com/dit/dit/commit/967dd8f7aac8c44453bb14e4a710535a2b2d61f1,Add Parameter,"Location: dit/algorithms/prune_expand.py
The parameter(s) ""union""is/are added to the method ""expanded_samplespace""",PyRef,TP,
https://github.com/dit/dit/commit/9847f9672cdcdde38332639f0b3848c2bfb5f40f,Add Parameter,"Location: dit/distconst.py
The parameter(s) ""inplace""is/are added to the method ""simplex_grid""",PyRef,TP,
https://github.com/dit/dit/commit/9a5b0f08dfc6fe74965e1576697697a71ece4934,Rename Method,"Location: dit/utils/tests/test_context.py
The method ""test_named_tempfile"" is renamed to ""test_named_tempfile1""",PyRef,TP,
https://github.com/dit/dit/commit/a26dc5139f0c81712d149b13d19ddc7bee88d550,Remove Parameter,"Location: dit/algorithms/maxentropy.py/MaximumEntropy
The parameter(s) ""inplace"" is/are removed from the method ""__init__"" in the class ""MaximumEntropy""",PyRef,TP,
https://github.com/dit/dit/commit/a26dc5139f0c81712d149b13d19ddc7bee88d550,Rename Method,"Location: dit/algorithms/maxentropy.py
The method ""maxent_dists"" is renamed to ""marginal_maxent_dists""",PyRef,TP,
https://github.com/dit/dit/commit/b10ca232a490323ce73ac1a2ce4eb5e6d4f826b9,Rename Method,"Location: dit/utils/tests/test_misc.py
The method ""test_partition_set"" is renamed to ""test_partition_set1""",PyRef,TP,
https://github.com/dit/dit/commit/bd21854f4470d9bec9813829f85bfeb74e04a5c4,Rename Method,"Location: dit/distconst.py
The method ""insert_frv"" is renamed to ""insert_rvf""",PyRef,TP,
https://github.com/dit/dit/commit/bd21854f4470d9bec9813829f85bfeb74e04a5c4,Rename Method,"Location: dit/tests/test_distcont.py
The method ""test_insert_frv1"" is renamed to ""test_insert_rvf1""",PyRef,TP,
https://github.com/dit/dit/commit/bd21854f4470d9bec9813829f85bfeb74e04a5c4,Rename Method,"Location: dit/tests/test_distcont.py
The method ""test_insert_frv2"" is renamed to ""test_insert_rvf2""",PyRef,TP,
https://github.com/dit/dit/commit/bd21854f4470d9bec9813829f85bfeb74e04a5c4,Rename Method,"Location: dit/tests/test_distcont.py
The method ""test_booleanfunctions1"" is renamed to ""test_rvfunctions1""",PyRef,TP,
https://github.com/dit/dit/commit/bd21854f4470d9bec9813829f85bfeb74e04a5c4,Rename Method,"Location: dit/tests/test_distcont.py
The method ""test_booleanfunctions2"" is renamed to ""test_rvfunctions2""",PyRef,TP,
https://github.com/dit/dit/commit/bd21854f4470d9bec9813829f85bfeb74e04a5c4,Rename Method,"Location: dit/tests/test_distcont.py
The method ""test_booleanfunctions3"" is renamed to ""test_rvfunctions3""",PyRef,TP,
https://github.com/dit/dit/commit/bd21854f4470d9bec9813829f85bfeb74e04a5c4,Rename Method,"Location: dit/tests/test_distcont.py
The method ""test_booleanfunctions4"" is renamed to ""test_rvfunctions4""",PyRef,TP,
https://github.com/dit/dit/commit/be84e57e07b9416ef53f2876004b9fd4834d0321,Remove Parameter,"Location: dit/math/pmfops.py
The parameter(s) ""inplace"" is/are removed from the method ""downsample""",PyRef,CTP,"Conditional true positive: parameters got merged, thus one parameter is removed. As merge parameter is not supported yet, we consider it as CTP"
https://github.com/dit/dit/commit/bffa2c6f8274d7ea6ba3f001f413cdc93434a826,Remove Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""inplace"" is/are removed from the method ""_init"" in the class ""Distribution""",PyRef,TP,
https://github.com/dit/dit/commit/bffa2c6f8274d7ea6ba3f001f413cdc93434a826,Remove Parameter,"Location: dit/npscalardist.py/ScalarDistribution
The parameter(s) ""inplace"" is/are removed from the method ""_init"" in the class ""ScalarDistribution""",PyRef,TP,
https://github.com/dit/dit/commit/c40a16aac0cc236bbf1f523c400b1b76bd521f95,Add Parameter,"Location: dit/npjdist.py
The parameter(s) ""unique,sort""is/are added to the method ""parse_rvs""",PyRef,TP,
https://github.com/dit/dit/commit/cb2f63f02d81e6decd55fda364b2215d70b3c090,Rename Method,"Location: dit/tests/test_distribution.py
The method ""test_to_string4"" is renamed to ""test_to_string10""",PyRef,FP,
https://github.com/dit/dit/commit/cb2f63f02d81e6decd55fda364b2215d70b3c090,Rename Method,"Location: dit/tests/test_helpers.py
The method ""test_reorder1"" is renamed to ""test_reorder2""",PyRef,TP,
https://github.com/dit/dit/commit/cb2f63f02d81e6decd55fda364b2215d70b3c090,Rename Method,"Location: dit/utils/tests/test_misc.py
The method ""test_require_keys1"" is renamed to ""test_require_keys2""",PyRef,TP,
https://github.com/dit/dit/commit/cf4fb1b7812ea03f605c571121156326b2a2facb,Add Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""trim"" in the class ""Distribution""is/are added to the method ""__init__""",PyRef,TP,
https://github.com/dit/dit/commit/cf4fb1b7812ea03f605c571121156326b2a2facb,Add Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""trim"" in the class ""Distribution""is/are added to the method ""_init""",PyRef,TP,
https://github.com/dit/dit/commit/cf4fb1b7812ea03f605c571121156326b2a2facb,Add Parameter,"Location: dit/npscalardist.py/ScalarDistribution
The parameter(s) ""trim"" in the class ""ScalarDistribution""is/are added to the method ""__init__""",PyRef,TP,
https://github.com/dit/dit/commit/cf4fb1b7812ea03f605c571121156326b2a2facb,Add Parameter,"Location: dit/npscalardist.py/ScalarDistribution
The parameter(s) ""trim"" in the class ""ScalarDistribution""is/are added to the method ""_init""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Extract Method,"Location: dit/algorithms/coinformation.py
The method ""entropy"" is extracted from the method ""coinformation""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Move Method,"Location: dit/npscalardist.py
The method ""reorder"" in the file ""dit/npscalardist.py""is moved to the file ""dit/helpers.py""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Rename Method,"Location: dit/helpers.py
The method ""reorder"" is renamed to ""reorder_cp""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""alphabet"" of the method ""__init__"" in the class ""Distribution"" is/are changed/renamed to ""sample_space""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""alphabet"" of the method ""_init"" in the class ""Distribution"" is/are changed/renamed to ""sample_space""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Change/Rename Parameter,"Location: dit/npdist.py
The parameter(s) ""alphabet"" of the method ""_make_distribution"" is/are changed/renamed to ""sample_space""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Change/Rename Parameter,"Location: dit/npscalardist.py/ScalarDistribution
The parameter(s) ""alphabet"" of the method ""__init__"" in the class ""ScalarDistribution"" is/are changed/renamed to ""sample_space""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Change/Rename Parameter,"Location: dit/npscalardist.py/ScalarDistribution
The parameter(s) ""alphabet"" of the method ""_init"" in the class ""ScalarDistribution"" is/are changed/renamed to ""sample_space""",PyRef,TP,
https://github.com/dit/dit/commit/d68d2f5d0cc7a5520081ef2eb67db816c2bf9550,Change/Rename Parameter,"Location: dit/npscalardist.py
The parameter(s) ""alphabet"" of the method ""_make_distribution"" is/are changed/renamed to ""sample_space""",PyRef,TP,
https://github.com/dit/dit/commit/da97ce945830a040932449caa262b6fe73ee04e1,Add Parameter,"Location: dit/math/pmfops.py
The parameter(s) ""method""is/are added to the method ""projections""",PyRef,TP,
https://github.com/dit/dit/commit/dc7b005397e143ab773380671295dbb7234a1d02,Rename Method,"Location: dit/distribution.py/BaseDistribution
The method ""is_event"" in the class ""BaseDistribution"" is renamed to ""has_event""",PyRef,TP,
https://github.com/dit/dit/commit/dc7b005397e143ab773380671295dbb7234a1d02,Add Parameter,"Location: dit/distribution.py/BaseDistribution
The parameter(s) ""null"" in the class ""BaseDistribution""is/are added to the method ""is_event""",PyRef,CTP,"Conditional true positive: methods got merged with a new name with added parameter. As merge method is not supported yet, we consider it as CTP"
https://github.com/dit/dit/commit/dd4861edf062998c0b2027553c966a43ea4e18b3,Add Parameter,"Location: dit/distconst.py
The parameter(s) ""alpha""is/are added to the method ""random_distribution""",PyRef,TP,
https://github.com/dit/dit/commit/dd4861edf062998c0b2027553c966a43ea4e18b3,Add Parameter,"Location: dit/distconst.py
The parameter(s) ""alpha""is/are added to the method ""random_scalar_distribution""",PyRef,TP,
https://github.com/dit/dit/commit/e9e208dde1371bd75ac501e44bff6dbc7f1baf36,Add Parameter,"Location: dit/distconst.py
The parameter(s) ""merge""is/are added to the method ""mixture_distribution""",PyRef,TP,
https://github.com/dit/dit/commit/eadee5879ee83cdfa18a8c857f75778b463570b1,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""logbase"" of the method ""__init__"" in the class ""Distribution"" is/are changed/renamed to ""base""",PyRef,TP,
https://github.com/dit/dit/commit/eadee5879ee83cdfa18a8c857f75778b463570b1,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""logbase"" of the method ""_init"" in the class ""Distribution"" is/are changed/renamed to ""base""",PyRef,TP,
https://github.com/dit/dit/commit/eadee5879ee83cdfa18a8c857f75778b463570b1,Change/Rename Parameter,"Location: dit/npdist.py
The parameter(s) ""logbase"" of the method ""_make_distribution"" is/are changed/renamed to ""base""",PyRef,TP,
https://github.com/dit/dit/commit/eb5df875b77284aad6e75c16037be0dcff9e418b,Rename Method,"Location: dit/math/tests/test_ops.py
The method ""test_exp_func"" is renamed to ""test_exp_func1""",PyRef,TP,
https://github.com/dit/dit/commit/eb5df875b77284aad6e75c16037be0dcff9e418b,Rename Method,"Location: dit/math/tests/test_ops.py
The method ""test_log_func"" is renamed to ""test_log_func1""",PyRef,TP,
https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,Add Parameter,"Location: dit/math/ops.py
The parameter(s) ""func""is/are added to the method ""exp""",PyRef,TP,
https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,Inline Method,"Location: dit/math/ops.py
The method ""log"" is inlined to the method ""log""",PyRef,FP,
https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,Move Method,"Location: dit/math/ops.py
The method ""add"" of the class ""LogOperations""in the file ""dit/math/ops.py""is moved to the file ""dit/math/ops.py""",PyRef,TP,
